id,day,score,steps,total_calories,active_calories,average_met_minutes,high_activity_time,medium_activity_time,low_activity_time,sedentary_time,resting_time,equivalent_walking_distance,target_calories,target_meters,meters_to_target,timestamp
sample-activity-000,2026-05-03,69,9494,2365,672,1.3985,200,1559,2401,29623,28910,6606,550,9000,2394,2026-05-03T04:00:00.000-05:00
sample-activity-001,2026-05-04,64,8753,2341,649,1.2379,19,1729,3016,29704,28835,5921,550,9000,3079,2026-05-04T04:00:00.000-05:00
sample-activity-002,2026-05-05,76,9498,2430,698,1.5313,309,1352,1966,29632,28551,6815,550,9000,2185,2026-05-05T04:00:00.000-05:00
sample-activity-003,2026-05-06,72,11067,2538,713,1.4509,0,1786,3663,26773,29086,7769,550,9000,1231,2026-05-06T04:00:00.000-05:00
sample-activity-004,2026-05-07,57,7361,2105,594,1.304,0,2029,2714,32883,29891,5283,550,9000,3717,2026-05-07T04:00:00.000-05:00
sample-activity-005,2026-05-08,64,10906,2456,671,1.4301,0,1700,2974,27801,30782,7532,550,9000,1468,2026-05-08T04:00:00.000-05:00
sample-activity-006,2026-05-09,67,8647,2282,583,1.3883,0,1492,4195,30094,25684,6073,550,9000,2927,2026-05-09T04:00:00.000-05:00
sample-activity-007,2026-05-10,70,7745,2156,542,1.4077,132,1498,3710,26169,30428,5606,550,9000,3394,2026-05-10T04:00:00.000-05:00
sample-activity-008,2026-05-11,73,9482,2313,674,1.5135,205,1572,2616,27035,28545,6900,550,9000,2100,2026-05-11T04:00:00.000-05:00
sample-activity-009,2026-05-12,63,7371,2171,597,1.3079,119,1469,2444,31605,29822,5391,550,9000,3609,2026-05-12T04:00:00.000-05:00
sample-activity-010,2026-05-13,72,8493,2210,595,1.5438,357,1567,2605,28129,26177,5851,550,9000,3149,2026-05-13T04:00:00.000-05:00
sample-activity-011,2026-05-14,80,10437,2338,655,1.3882,540,2075,3106,29060,26955,7686,550,9000,1314,2026-05-14T04:00:00.000-05:00
sample-activity-012,2026-05-15,62,9081,2238,658,1.357,0,1010,2737,29775,28707,6378,550,9000,2622,2026-05-15T04:00:00.000-05:00
sample-activity-013,2026-05-16,63,7871,2203,624,1.5688,75,1804,2563,29173,27806,5794,550,9000,3206,2026-05-16T04:00:00.000-05:00
sample-activity-014,2026-05-17,63,9641,2318,623,1.5052,0,1431,3680,31376,28318,6939,550,9000,2061,2026-05-17T04:00:00.000-05:00
sample-activity-015,2026-05-18,68,10253,2397,720,1.4478,5,1733,2731,28525,29831,7107,550,9000,1893,2026-05-18T04:00:00.000-05:00
sample-activity-016,2026-05-19,74,11070,2493,761,1.3948,0,1372,4180,25669,25606,7907,550,9000,1093,2026-05-19T04:00:00.000-05:00
sample-activity-017,2026-05-20,67,9477,2277,657,1.3927,324,2004,2854,27765,29842,6897,550,9000,2103,2026-05-20T04:00:00.000-05:00
sample-activity-018,2026-05-21,79,11415,2530,747,1.5009,298,2159,3871,28717,27831,8341,550,9000,659,2026-05-21T04:00:00.000-05:00
sample-activity-019,2026-05-22,55,5806,1999,609,1.378,0,1713,3014,30643,28286,4152,550,9000,4848,2026-05-22T04:00:00.000-05:00
sample-activity-020,2026-05-23,70,8800,2156,649,1.4427,239,1196,3378,26349,26778,6642,550,9000,2358,2026-05-23T04:00:00.000-05:00
sample-activity-021,2026-05-24,76,8706,2335,678,1.4775,0,1989,2365,27073,29200,6470,550,9000,2530,2026-05-24T04:00:00.000-05:00
sample-activity-022,2026-05-25,72,9451,2266,658,1.4428,0,1801,2288,27647,24313,6753,550,9000,2247,2026-05-25T04:00:00.000-05:00
sample-activity-023,2026-05-26,70,8521,2101,609,1.3346,159,1168,3076,28152,28746,6285,550,9000,2715,2026-05-26T04:00:00.000-05:00
sample-activity-024,2026-05-27,66,8627,2153,559,1.3887,12,1583,3393,26996,26494,6598,550,9000,2402,2026-05-27T04:00:00.000-05:00
sample-activity-025,2026-05-28,64,10710,2342,684,1.4932,50,1669,2824,28297,28553,8103,550,9000,897,2026-05-28T04:00:00.000-05:00
sample-activity-026,2026-05-29,70,8963,2260,579,1.3405,0,1817,2028,27607,27967,6208,550,9000,2792,2026-05-29T04:00:00.000-05:00
sample-activity-027,2026-05-30,78,10285,2356,628,1.4748,195,1823,1984,29137,29546,7220,550,9000,1780,2026-05-30T04:00:00.000-05:00
sample-activity-028,2026-05-31,82,9915,2319,701,1.4444,701,1917,1944,28834,27655,7436,550,9000,1564,2026-05-31T04:00:00.000-05:00
sample-activity-029,2026-06-01,73,9488,2347,691,1.4739,240,2137,1739,28211,26781,6620,550,9000,2380,2026-06-01T04:00:00.000-05:00
sample-activity-030,2026-06-02,92,11027,2466,750,1.5289,584,2348,2866,26132,25911,7675,550,9000,1325,2026-06-02T04:00:00.000-05:00
sample-activity-031,2026-06-03,71,9728,2348,647,1.5732,0,805,3475,28820,29728,6907,550,9000,2093,2026-06-03T04:00:00.000-05:00
sample-activity-032,2026-06-04,77,11027,2471,646,1.5255,96,1660,2792,26845,29157,8023,550,9000,977,2026-06-04T04:00:00.000-05:00
sample-activity-033,2026-06-05,66,10622,2449,676,1.3251,0,1541,1444,27340,28384,7627,550,9000,1373,2026-06-05T04:00:00.000-05:00
sample-activity-034,2026-06-06,73,9746,2180,614,1.5187,127,1169,2686,27020,27637,6887,550,9000,2113,2026-06-06T04:00:00.000-05:00
sample-activity-035,2026-06-07,78,10479,2368,666,1.428,369,1798,2702,27028,25488,7410,550,9000,1590,2026-06-07T04:00:00.000-05:00
sample-activity-036,2026-06-08,89,9499,2152,648,1.4988,160,2310,4058,25245,28336,6697,550,9000,2303,2026-06-08T04:00:00.000-05:00
sample-activity-037,2026-06-09,75,9478,2306,631,1.5001,0,1399,1926,28493,26126,6648,550,9000,2352,2026-06-09T04:00:00.000-05:00
sample-activity-038,2026-06-10,66,9844,2336,668,1.3907,0,1691,2566,30155,29282,7544,550,9000,1456,2026-06-10T04:00:00.000-05:00
sample-activity-039,2026-06-11,79,10868,2501,661,1.5664,32,1510,3824,25509,27900,7884,550,9000,1116,2026-06-11T04:00:00.000-05:00
sample-activity-040,2026-06-12,71,9468,2385,686,1.393,36,1463,3070,28648,30706,6994,550,9000,2006,2026-06-12T04:00:00.000-05:00
sample-activity-041,2026-06-13,70,10125,2375,665,1.4005,0,2093,3138,28370,26574,7192,550,9000,1808,2026-06-13T04:00:00.000-05:00
sample-activity-042,2026-06-14,74,10030,2318,619,1.4175,223,1547,2869,28852,28251,7184,550,9000,1816,2026-06-14T04:00:00.000-05:00
sample-activity-043,2026-06-15,75,10895,2465,681,1.4297,276,1864,2998,28231,29749,7702,550,9000,1298,2026-06-15T04:00:00.000-05:00
sample-activity-044,2026-06-16,76,9978,2311,640,1.5679,100,1179,3267,25980,29022,6654,550,9000,2346,2026-06-16T04:00:00.000-05:00
sample-activity-045,2026-06-17,74,9099,2269,625,1.5203,0,2269,2314,26446,26848,6276,550,9000,2724,2026-06-17T04:00:00.000-05:00
sample-activity-046,2026-06-18,77,10114,2429,751,1.6218,0,1936,3327,28114,27811,6920,550,9000,2080,2026-06-18T04:00:00.000-05:00
sample-activity-047,2026-06-19,74,6266,1975,549,1.6514,347,1655,1976,29883,28085,4062,550,9000,4938,2026-06-19T04:00:00.000-05:00
sample-activity-048,2026-06-20,64,9061,2322,640,1.3375,0,1733,2997,25919,28080,6285,550,9000,2715,2026-06-20T04:00:00.000-05:00
sample-activity-049,2026-06-21,76,5647,2006,478,1.4856,80,1317,2907,28679,27026,4331,550,9000,4669,2026-06-21T04:00:00.000-05:00
sample-activity-050,2026-06-22,71,7339,2044,537,1.3609,0,2020,2430,30394,27379,5275,550,9000,3725,2026-06-22T04:00:00.000-05:00
sample-activity-051,2026-06-23,70,9647,2386,658,1.3878,161,1553,2786,28470,25295,7204,550,9000,1796,2026-06-23T04:00:00.000-05:00
sample-activity-052,2026-06-24,67,9420,2347,630,1.3846,0,1544,2426,29795,28780,6865,550,9000,2135,2026-06-24T04:00:00.000-05:00
sample-activity-053,2026-06-25,71,7956,2173,664,1.3704,106,1518,2157,27555,28726,5885,550,9000,3115,2026-06-25T04:00:00.000-05:00
sample-activity-054,2026-06-26,66,8027,2119,587,1.3458,113,1416,2588,28881,28156,5599,550,9000,3401,2026-06-26T04:00:00.000-05:00
sample-activity-055,2026-06-27,73,10913,2372,716,1.4535,442,1903,2138,25999,26524,7962,550,9000,1038,2026-06-27T04:00:00.000-05:00
sample-activity-056,2026-06-28,65,8193,2150,604,1.3277,0,1652,2994,25633,29185,6045,550,9000,2955,2026-06-28T04:00:00.000-05:00
