id,day,score,timestamp,contributors.deep_sleep,contributors.efficiency,contributors.latency,contributors.rem_sleep,contributors.restfulness,contributors.timing,contributors.total_sleep
sample-sleep-000,2026-05-03,75,2026-05-03T00:00:00.000+00:00,73,84,78,68,61,99,77
sample-sleep-001,2026-05-04,67,2026-05-04T00:00:00.000+00:00,62,88,84,70,65,99,82
sample-sleep-002,2026-05-05,76,2026-05-05T00:00:00.000+00:00,63,88,90,85,78,75,65
sample-sleep-003,2026-05-06,77,2026-05-06T00:00:00.000+00:00,74,99,69,86,75,57,70
sample-sleep-004,2026-05-07,52,2026-05-07T00:00:00.000+00:00,59,93,79,66,66,76,67
sample-sleep-005,2026-05-08,55,2026-05-08T00:00:00.000+00:00,69,87,95,67,68,77,82
sample-sleep-006,2026-05-09,64,2026-05-09T00:00:00.000+00:00,63,83,73,76,75,78,78
sample-sleep-007,2026-05-10,65,2026-05-10T00:00:00.000+00:00,52,81,72,63,65,67,81
sample-sleep-008,2026-05-11,75,2026-05-11T00:00:00.000+00:00,53,94,82,72,80,87,71
sample-sleep-009,2026-05-12,66,2026-05-12T00:00:00.000+00:00,75,88,88,68,78,86,70
sample-sleep-010,2026-05-13,76,2026-05-13T00:00:00.000+00:00,80,91,80,73,80,62,82
sample-sleep-011,2026-05-14,80,2026-05-14T00:00:00.000+00:00,63,79,93,64,80,88,78
sample-sleep-012,2026-05-15,68,2026-05-15T00:00:00.000+00:00,58,92,89,57,75,99,80
sample-sleep-013,2026-05-16,79,2026-05-16T00:00:00.000+00:00,77,91,88,56,92,82,77
sample-sleep-014,2026-05-17,70,2026-05-17T00:00:00.000+00:00,55,82,86,62,74,76,80
sample-sleep-015,2026-05-18,68,2026-05-18T00:00:00.000+00:00,54,85,99,65,70,78,77
sample-sleep-016,2026-05-19,73,2026-05-19T00:00:00.000+00:00,71,90,78,69,70,87,83
sample-sleep-017,2026-05-20,67,2026-05-20T00:00:00.000+00:00,57,87,60,82,64,59,81
sample-sleep-018,2026-05-21,79,2026-05-21T00:00:00.000+00:00,65,87,96,78,66,82,69
sample-sleep-019,2026-05-22,62,2026-05-22T00:00:00.000+00:00,60,86,75,62,66,75,63
sample-sleep-020,2026-05-23,71,2026-05-23T00:00:00.000+00:00,64,86,81,71,72,99,82
